id,audio_file,duration_sec,human_transcript,punctuation_style,filler_words,noise_level,accent_notes,pause_notes,annotation_confidence,reviewer_notes
fleurs_zh_001,audio/fleurs_zh_001.wav,8.94,他们仍在努力确定这次撞击的规模以及对地球的影响,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_002,audio/fleurs_zh_002.wav,7.08,科学家表示这种动物的羽毛顶部为栗棕色底部为浅色或胡萝卜色,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_003,audio/fleurs_zh_003.wav,6.18,它也没有权力推翻各州之间的税法和关税,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_004,audio/fleurs_zh_004.wav,9.9,报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱,minimal_no_spaces,none,medium,standard_mandarin,long_sentence_single_breath_group,high,Dense political vocabulary; no filler words added beyond speech.
fleurs_zh_005,audio/fleurs_zh_005.wav,7.56,亚马逊河也是地球上最宽的河流有些河段的宽度可达6英里,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_006,audio/fleurs_zh_006.wav,8.04,我不知道你有没有意识到从中美洲进口到这个国家的大部分货物都是免关税的,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_007,audio/fleurs_zh_007.wav,5.58,他称他制作了一个wifi门铃,minimal_no_spaces,none,low,standard_mandarin_with_english_loanword,brief_pause_before_wifi,high,English loanword 'wifi' pronounced with light accent; transcribed in lowercase.
fleurs_zh_008,audio/fleurs_zh_008.wav,8.94,所有的这些都成为了独立的学科着重为现实生活中的问题提供解决方案,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_009,audio/fleurs_zh_009.wav,9.16,警方说尸体看上去在那里放了一天左右,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_010,audio/fleurs_zh_010.wav,12.0,它们的夜视能力很强能在黑暗中看得很清楚而且行动也很隐秘豹猫的捕食方式是先融入周围环境然后猛扑向猎物,minimal_no_spaces,none,low,standard_mandarin,comma_like_pauses_between_clauses,high,Multiple clauses describing animal behavior; pauses not written as punctuation.
fleurs_zh_011,audio/fleurs_zh_011.wav,11.34,然而我们百分之八十的商品在中美洲国家被征收关税我们对待你,minimal_no_spaces,none,low,standard_mandarin,sentence_truncated_at_end,medium,"Source clip ends abruptly at '我们对待你'; annotated exactly as spoken, not inferred completion."
fleurs_zh_012,audio/fleurs_zh_012.wav,5.82,你可以在黑暗中看到金字塔在节目开始前你可以看到它们默默地在那里,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_013,audio/fleurs_zh_013.wav,9.66,如果需要进行任何修改或有任何要求应该首先通过旅行代理商进行办理而不是直接与酒店接洽,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_014,audio/fleurs_zh_014.wav,11.28,学生往往是最挑剔的读者所以博客作者开始努力提高写作水平避免受到批判,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_015,audio/fleurs_zh_015.wav,9.12,最终木轮被铁轮所取代1767年第一条全铁轨道问世,minimal_no_spaces,none,low,standard_mandarin,number_boundary_pause,high,Year '1767' and ordinals require careful digit grouping; kept Arabic numerals.
